"ID","MonthlyIncome"
871,5486.1893709239
872,2781.64433928446
873,13161.5223205183
874,2448.73732432214
875,2879.32316861832
876,5260.85735730973
877,5358.1070395671
878,2476.04037641264
879,2882.25794341023
880,13615.2507423428
881,10029.3936381554
882,2879.32316861832
883,5587.13432533071
884,5385.41009165761
885,5788.69288386329
886,5572.86617784711
887,5994.0184506203
888,5724.03509674654
889,4379.12170657243
890,2733.46964630725
891,5150.79971856655
892,9071.99048512566
893,9071.99048512566
894,5435.79973129075
895,9887.51362089676
896,9367.30508174579
897,9172.76976439195
898,15731.593224573
899,5788.69288386329
900,2832.0339789176
901,2828.93352898518
902,5687.74792945647
903,6191.81000092844
904,2929.71280825147
905,16313.3479877687
906,5335.02045202446
907,9333.06190979165
908,5774.42473637968
909,2627.3749704526
910,2580.08578075188
911,19283.3814516419
912,2632.52469190044
913,2879.32316861832
914,12708.2370846057
915,5774.42473637968
916,4127.17350840671
917,2680.86506001817
918,5536.74468569756
919,2445.18936827653
920,3131.27136678405
921,2596.35828717597
922,2576.98533081946
923,4328.73206693929
924,5245.84956364065
925,16817.2443841001
926,3030.49208751776
927,5788.69288386329
928,13165.8471859143
929,2247.17876578956
930,2778.37821421151
931,5710.83451699911
932,12661.9507895829
933,9122.38012475881
934,2526.43001604579
935,2576.98533081946
936,2576.81965567893
937,9282.83794529902
938,9518.3083255047
939,5604.30647526485
940,2445.18936827653
941,3282.44028568348
942,9172.76976439195
943,10029.3936381554
944,5572.86617784711
945,2394.79972864339
946,5590.73565841462
947,2445.18936827653
948,2680.86506001817
949,2682.91433153358
950,5536.57901055704
951,2703.78597242028
952,5687.913604597
953,5842.84953172087
954,2677.59893494522
955,3998.92550190939
956,8165.89441286812
957,10627.0460725744
958,2700.68552248786
959,9676.66616072339
960,20039.226046139
961,2832.0339789176
962,5150.79971856655
963,5943.46313584663
964,5676.43540793684
965,2630.47542038503
966,19484.9400101744
967,2781.64433928446
968,9122.38012475881
969,16464.3512315276
970,2778.54388935203
971,5637.52396496385
972,5943.62881098716
973,2627.20929531208
